"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RBM47",37300.3671999726,5.82279640481524,0.0814024222280938,71.5309968111202,0,0
"RRP9",4746.69044223688,-0.753024425114452,0.0717240649351112,-10.4989089198404,8.73842874871195e-26,5.94169462768669e-22
"CDC20",16787.8682430267,-0.799473106736238,0.0826993436835129,-9.66722432279258,4.15494124013838e-22,1.88343486415473e-18
"ARRDC3",5436.71080111342,0.602031118466397,0.0654003170520786,9.20532415748071,3.40641498497379e-20,1.15809593451646e-16
"IFI6",1814.1116770387,-1.10479077433446,0.124377264739877,-8.88257815160212,6.53283200898053e-19,1.77679964980252e-15
"ISG15",11530.1315010131,-0.689626314690702,0.0795073669320614,-8.67374107961574,4.1815050873656e-18,9.47738128051413e-15
"RANGAP1",13264.8397366309,-0.507314174758176,0.0612755632810548,-8.27922498943437,1.23979500350661e-16,2.40856746466949e-13
"LAMB3",5153.41828413894,-0.618529677861717,0.0761446231837102,-8.12309066615804,4.54459561051024e-16,6.86688396748097e-13
"NAMPT",10628.0110534107,0.606409521606243,0.0745490247041948,8.13437230081054,4.14078192226003e-16,6.86688396748097e-13
"MAP2K3",6159.58000825608,-0.573961684338226,0.0709983717875891,-8.08415277543812,6.2597822130768e-16,8.51267783156314e-13
"LNPK",3275.327482577,0.635196389037134,0.0792003963516029,8.02011629105033,1.05645099449528e-15,1.30606155219467e-12
"INSIG2",3728.72608837793,0.640372680548815,0.0808977200427753,7.915831005005,2.4560703865954e-15,2.78334176560923e-12
"PJA2",5414.67523775505,0.652606621555119,0.0829393427179906,7.86848074952925,3.58973778312617e-15,3.7551418548256e-12
"HNRNPLP2",528.091767040362,-1.09156281212163,0.140209190233464,-7.78524439306765,6.95785775937716e-15,6.758564833555e-12
"P4HA1",13517.5839893395,0.507412757976828,0.065372184149147,7.76190614679729,8.36623102121927e-15,7.11077347859756e-12
"ATAD1",3550.7321301545,0.58845915319803,0.0757627221069363,7.76713318678599,8.02824151191903e-15,7.11077347859756e-12
"HRAS",4276.32075723217,-0.561310703085478,0.0726160186449801,-7.72984685141894,1.07676042858092e-14,8.61345004015999e-12
"MIB1",6766.15072942313,0.575399116914511,0.0749333878066324,7.67880825566492,1.60575369080114e-14,1.21314691340026e-11
"PPRC1",4851.87222767419,-0.561576230251602,0.0745089613193275,-7.53702937616887,4.80798051432753e-14,3.44124879022842e-11
