"ID","GeneID","geneSymbol","chr","strand","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference"
25954,"ENSG00000140525.20","FANCI","chr15","+",89245606,89245708,89244003,89244033,89247628,89247731,25954,"26,2,20","52,4,45","27,27,14","0,0,0",251,149,0,0,"0.229,0.229,0.209","1.0,1.0,1.0",-0.778
34863,"ENSG00000163694.15","RBM47","chr4","-",40436440,40436647,40432650,40432862,40437770,40438797,34863,"127,120,110","4753,5726,5770","113,111,65","1,5,6",356,149,0,0,"0.011,0.009,0.008","0.979,0.903,0.819",-0.891
34864,"ENSG00000163694.15","RBM47","chr4","-",40436440,40436885,40432650,40432862,40437770,40438924,34864,"83,80,71","4753,5726,5770","75,73,39","1,5,6",594,149,0,0,"0.004,0.003,0.003","0.95,0.786,0.62",-0.782
54063,"ENSG00000162585.17","FAAP20","chr1","-",2193997,2194133,2193638,2193910,2194687,2194741,54063,"916,1092,1332","0,0,74","1113,1363,968","95,133,58",285,149,0,0,"1.0,1.0,0.904","0.86,0.843,0.897",0.101
72949,"ENSG00000214922.9","HLA-F-AS1","chr6","-",29747147,29747425,29745472,29745727,29748899,29749049,72949,"8,22,45","0,0,0","7,7,10","3,18,14",427,149,0,0,"1.0,1.0,1.0","0.449,0.119,0.2",0.744
88664,"ENSG00000140988.16","RPS2","chr16","-",1963148,1963256,1962057,1962270,1964448,1964812,88664,"523,428,615","0,0,0","680,766,527","110,96,3",257,149,0,0,"1.0,1.0,1.0","0.782,0.822,0.99",0.135
3434,"ENSG00000124313.19","IQSEC2","chrX","-",53235782,53235832,53228822,53231870,53236321,53236495,3434,"3,3,3","0,0,0","0,0,0","5,2,4",199,149,3.33066907388e-16,2.38642439143502e-12,"1.0,1.0,1.0","0.0,0.0,0.0",1
21330,"ENSG00000259687.4","LINC01220","chr14","+",75294676,75294737,75294406,75294541,75296119,75296564,21330,"2,1,1","0,0,0","0,1,1","1,16,2",210,149,3.33066907388e-16,2.38642439143502e-12,"1.0,1.0,1.0","0.0,0.042,0.262",0.899
5490,"ENSG00000170906.16","NDUFA3","chr19","+",54106352,54106446,54103113,54103188,54106810,54106961,5490,"71,98,105","0,0,1","95,93,94","30,11,15",243,149,3.33066907388e-15,2.01928217736809e-11,"1.0,1.0,0.985","0.66,0.838,0.793",0.231
51029,"ENSG00000137312.15","FLOT1","chr6","-",30741189,30741704,30740678,30740798,30742146,30742203,51029,"300,322,430","0,0,0","388,475,305","4,41,25",664,149,5.99520433298e-15,3.37508592502728e-11,"1.0,1.0,1.0","0.956,0.722,0.732",0.197
27910,"ENSG00000113194.13","FAF2","chr5","+",176453317,176453702,176453138,176453228,176479187,176479256,27910,"25,11,6","0,0,0","4,2,7","5,7,2",534,149,1.43218770177e-14,7.52519158100017e-11,"1.0,1.0,1.0","0.182,0.074,0.494",0.75
20874,"ENSG00000100605.17","ITPK1","chr14","-",93115068,93115184,93076594,93076619,93115771,93115871,20874,"216,219,314","17,17,11","213,354,250","0,0,0",265,149,3.19744231092e-14,1.48239068079506e-10,"0.877,0.879,0.941","1.0,1.0,1.0",-0.101
