"ID","GeneID","geneSymbol","chr","strand","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference"
8525,"ENSG00000104320.15","NBN","chr8","-",89946139,89947915,89946139,89946295,89953243,89953691,8525,"2,2,8","0,0,0","0,0,0","2,3,1",1769,149,5.66213742559e-15,5.16613418710832e-11,"1.0,1.0,1.0","0.0,0.0,0.0",1
5440,"ENSG00000108654.16","DDX5","chr17","-",64506075,64506262,64506075,64506259,64506754,64507562,5440,"48,94,126","0,1,10","104,68,51","26,79,28",152,149,8.2822637637e-13,3.77836872899994e-09,"1.0,0.989,0.925","0.797,0.458,0.641",0.339
2001,"ENSG00000091536.20","MYO15A","chr17","+",18172156,18172290,18172206,18172290,18171637,18171771,2001,"4,15,4","0,0,0","3,3,4","5,6,4",199,149,2.4121815656e-12,5.5021861511336e-09,"1.0,1.0,1.0","0.31,0.272,0.428",0.663
9639,"ENSG00000293360.1","ABCA11P","chr4","-",425814,427119,425814,426973,437445,437511,9639,"9,3,10","0,0,0","9,4,1","6,8,2",295,149,1.84663395686e-12,5.5021861511336e-09,"1.0,1.0,1.0","0.431,0.202,0.202",0.722
8436,"ENSG00000110851.12","PRDM4","chr12","-",107744542,107744682,107744542,107744661,107746274,107746424,8436,"2,0,0","66,81,65","6,12,12","53,44,34",170,149,2.61558552594e-11,4.77292046773531e-08,"0.026,0.0,0.0","0.09,0.193,0.236",-0.164
6139,"ENSG00000234741.10","GAS5","chr1","-",173863900,173864506,173863900,173864304,173864674,173864704,6139,"2070,2483,2569","166,206,212","2107,2547,2008","320,350,343",351,149,2.09323780531e-10,3.18311695594141e-07,"0.841,0.837,0.837","0.737,0.755,0.713",0.103
3477,"ENSG00000204713.11","TRIM27","chr6","-",28903001,28908840,28903001,28904665,28908972,28909088,3477,"298,346,428","0,1,0","299,459,369","15,17,3",4324,149,1.19709420154e-09,1.42861261232002e-06,"1.0,0.923,1.0","0.407,0.482,0.809",0.408
11555,"ENSG00000120549.19","KIAA1217","chr10","+",24531829,24531993,24531832,24531993,24527935,24528119,11555,"25,41,19","9,9,9","34,51,46","0,1,2",152,149,1.25261956363e-09,1.42861261232002e-06,"0.731,0.817,0.674","1.0,0.98,0.958",-0.239
2158,"ENSG00000258947.8","TUBB3","chr16","+",89933114,89933367,89933138,89933367,89932570,89932679,2158,"2,7,6","0,0,0","1,3,5","4,10,1",173,149,4.316194957e-09,4.37566253196311e-06,"1.0,1.0,1.0","0.177,0.205,0.812",0.602
15154,"ENSG00000196155.13","PLEKHG4","chr16","+",67288475,67288604,67288488,67288604,67288166,67288400,15154,"4,6,7","12,21,14","0,0,0","17,28,15",162,149,7.60947838074e-09,6.31171643144289e-06,"0.235,0.208,0.315","0.0,0.0,0.0",0.253
